#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HTEVTDESC1;This is a stopgap measure to ensure that the player character can see his or her own events;French;German;;Spanish;;;;;;;;;x
HTEVTDESC1.A;You learn your own traits;French;German;;Spanish;;;;;;;;;x
stressed_hidden_death;of severe stress;de grand stress;an großem Stress;;de estrés severo;;;;;;;;;x
depressed_hidden_death;of depression;de dépression;an Depression;;de depresión;;;;;;;;;x
ill_hidden_death;after a period of illness;d'une grave maladie;nach einer Zeit der Krankheit;;después de un período de enfermedad;;;;;;;;;x
pneumonic_hidden_death;of Pneumonia;de pneumonie;an Pneumonie;;de neumonía;;;;;;;;;x
syphilitic_hidden_death;of Great Pox;de variole grands;an Lues;;de lues;;;;;;;;;x
leper_hidden_death;of terminal stage Leprosy;de lèpre en phase finale;an Lepra im Endstadium;;en fase terminal de la Lepra;;;;;;;;;x
wounded_hidden_death;of an infected wound;d'une plaie infectée;an einer entzündeten Wunde;;de una herida infectada;;;;;;;;;x
maimed_hidden_death;a maimed cripple;d'une horrible mutiliation;an einer verstümmelten Verkrüppelung;;un lisiado mutilado;;;;;;;;;x
infirm_hidden_death;bedridden and infirm;dans son lit et infirme;bettlägerig und gebrechlich;;postrado en la cama y enfermo;;;;;;;;;x
incapable_hidden_death;comatose in bed;en sombrant dans le coma;komatös im Bett;;en estado de coma en la cama;;;;;;;;;x
has_tuberculosis_hidden_death;of Consumption;de tuberculose;an Schwindsucht;;de tisis;;;;;;;;;x
has_typhoid_fever_hidden_death;of the Slow Fever;de fièvre typhoïde;an Mittelmeerfieber;;de la fiebre lenta;;;;;;;;;x
has_typhus_hidden_death;of Camp Fever;de typhus exanthématique;an Fleckfieber;;de la fiebre del Campo;;;;;;;;;x
has_bubonic_plague_hidden_death;of the dreaded Plague;de peste bubonique;an der Pest;;de la temida plaga;;;;;;;;;x
has_measles_hidden_death;of the Measles;de rougeole;an Masern;;del sarampión;;;;;;;;;x
has_small_pox_hidden_death;of Smallpox;de variole;an Pocken;;de la viruela;;;;;;;;;x
inbred_hidden_death;an inbred freak;de maladie consanguine;als Missgeburt durch Inzucht;;un monstruo de endogamia;;;;;;;;;x
weak_hidden_death;of poor physique;de par sa faible constitution;an schlechter körperlicher Verfassung;;físico pobre;;;;;;;;;x
EVTREVEALTRAITS.0.NAME;Learn about someone in the court you are visiting;French;German;;Spanish;;;;;;;;;x
EVTREVEALTRAITS.0.DESC;You have discovered a trait about someone in the court you are visiting;French;German;;Spanish;;;;;;;;;x
EVTREVEALTRAITS.0.OPT1;I will pass this on.;Je vais le faire savoir.;Ich werde dies weitergeben.;;Se lo voy a decir.;;;;;;;;;x
EVTREVEALTRAITS.1.DESC;Your councillor, [From.GetTitledName], has discovered some information about a member of the court at [From.Location.GetName].;French;German;;Spanish;;;;;;;;;x
EVTREVEALTRAITS.REVEAL.DESC;Your trait has been revelaed!;French;German;;Spanish;;;;;;;;;x
reveal_my_traits;Reveal Your Traits;French;German;;Spanish;;;;;;;;;x
reveal_my_traits_desc;Reveal any hidden traits;French;German;;Spanish;;;;;;;;;x
